Sdhaf4_1	ENSMUSG00000026154
Fam135a_1	ENSMUSG00000026153
Col9a1_2	ENSMUSG00000026147
Col9a1_1	ENSMUSG00000026147
Col19a1_1	ENSMUSG00000026141
BC069931_2	ENSMUSG00000100862
BC069931_1	ENSMUSG00000100862
Lmbrd1_2	ENSMUSG00000073725
Lmbrd1_2	ENSMUSG00000073725
Lmbrd1_1	ENSMUSG00000073725
Adgrb3_2	ENSMUSG00000033569
Adgrb3_1	ENSMUSG00000033569
4931408C20Rik_1	ENSMUSG00000073722
Gm5524_1	ENSMUSG00000101514
Gm597_1	ENSMUSG00000048411
Phf3_1	ENSMUSG00000048874
Ptp4a1_2	ENSMUSG00000026064
Ptp4a1_1	ENSMUSG00000026064
Lgsn_1	ENSMUSG00000050217
4931428L18Rik_1	ENSMUSG00000086727
Pih1d3_1	ENSMUSG00000026063
Khdrbs2_1	ENSMUSG00000026058
Gm5415_1	ENSMUSG00000091318
Prim2_1	ENSMUSG00000026134
1700001G17Rik_1	ENSMUSG00000103746
Rab23_1	ENSMUSG00000004768
Bag2_1	ENSMUSG00000042215
Zfp451_2	ENSMUSG00000042197
Zfp451_1	ENSMUSG00000042197
Zfp451_1	ENSMUSG00000042197
Gm15455_1	ENSMUSG00000081402
Bend6_1	ENSMUSG00000042182
Dst_3	ENSMUSG00000026131
Dst_3	ENSMUSG00000026131
Dst_1	ENSMUSG00000026131
Dst_2	ENSMUSG00000026131
Dst_4	ENSMUSG00000026131
Mir5103_1	ENSMUSG00000092852
Ccdc115_1	ENSMUSG00000042111
Ccdc115_2	ENSMUSG00000042111
Imp4_1	ENSMUSG00000026127
Ptpn18_2	ENSMUSG00000026126
Ptpn18_1	ENSMUSG00000026126
Prss39_1	ENSMUSG00000026125
Cfc1_1	ENSMUSG00000026124
Prss40_1	ENSMUSG00000037529
Amer3_1	ENSMUSG00000045174
AK082264_1	ENSMUSG00000037509
AK082264_1	ENSMUSG00000037509
Arhgef4_1	ENSMUSG00000037509
Fam168b_2	ENSMUSG00000037503
Fam168b_1	ENSMUSG00000037503
Fam168b_1	ENSMUSG00000037503
Fam168b_1	ENSMUSG00000037503
Plekhb2_1	ENSMUSG00000026123
Hs6st1_1	ENSMUSG00000045216
Uggt1_2	ENSMUSG00000037470
Uggt1_1	ENSMUSG00000037470
Uggt1_1	ENSMUSG00000037470
Uggt1_1	ENSMUSG00000037470
Neurl3_1	ENSMUSG00000047180
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_1	ENSMUSG00000037447
Arid5a_2	ENSMUSG00000037447
Kansl3_1	ENSMUSG00000010453
Kansl3_1	ENSMUSG00000010453
Kansl3_1	ENSMUSG00000010453
Kansl3_1	ENSMUSG00000010453
Fer1l5_2	ENSMUSG00000037432
Fer1l5_2	ENSMUSG00000037432
Fer1l5_1	ENSMUSG00000037432
Lman2l_1	ENSMUSG00000001143
Cnnm4_1	ENSMUSG00000037408
AK139814_1	ENSMUSG00000104316
Cnnm3_1	ENSMUSG00000001138
Cnnm3_1	ENSMUSG00000001138
Cnnm3_1	ENSMUSG00000001138
Ankrd23_1	ENSMUSG00000067653
Ankrd23_1	ENSMUSG00000067653
Ankrd23_1	ENSMUSG00000067653
Ankrd39_1	ENSMUSG00000079610
Ankrd39_1	ENSMUSG00000079610
Sema4c_1	ENSMUSG00000026121
Sema4c_2	ENSMUSG00000026121
Fam178b_2	ENSMUSG00000046337
Fam178b_1	ENSMUSG00000046337
Cox5b_1	ENSMUSG00000061518
Actr1b_1	ENSMUSG00000037351
4933424G06Rik_1	ENSMUSG00000102416
Zap70_1	ENSMUSG00000026117
Zap70_1	ENSMUSG00000026117
Zap70_1	ENSMUSG00000026117
Zap70_1	ENSMUSG00000026117
Zap70_2	ENSMUSG00000026117
Tmem131_1	ENSMUSG00000026116
Vwa3b_1	ENSMUSG00000050122
Cnga3_1	ENSMUSG00000026114
Cnga3_1	ENSMUSG00000026114
AK051424_1	ENSMUSG00000026113
AK019601_1	ENSMUSG00000086064
Coa5_1	ENSMUSG00000026112
Unc50_1	ENSMUSG00000026111
Unc50_1	ENSMUSG00000026111
4930594C11Rik_1	ENSMUSG00000103948
Mgat4a_2	ENSMUSG00000026110
Mgat4a_3	ENSMUSG00000026110
Mgat4a_1	ENSMUSG00000026110
Mgat4a_1	ENSMUSG00000026110
2010300C02Rik_2	ENSMUSG00000026090
2010300C02Rik_1	ENSMUSG00000026090
Tsga10_1	ENSMUSG00000060771
Tsga10_1	ENSMUSG00000060771
Tsga10_2	ENSMUSG00000060771
Lipt1_1	ENSMUSG00000037216
Mitd1_1	ENSMUSG00000026088
Mrpl30_1	ENSMUSG00000026087
Lyg2_1	ENSMUSG00000061584
Lyg1_2	ENSMUSG00000026085
Lyg1_1	ENSMUSG00000026085
Txndc9_1	ENSMUSG00000058407
Eif5b_2	ENSMUSG00000026083
Eif5b_1	ENSMUSG00000026083
Rev1_1	ENSMUSG00000026082
Rev1_1	ENSMUSG00000026082
Aff3_3	ENSMUSG00000037138
Aff3_2	ENSMUSG00000037138
Aff3_1	ENSMUSG00000037138
Chst10_1	ENSMUSG00000026080
Chst10_1	ENSMUSG00000026080
Pdcl3_1	ENSMUSG00000026078
Npas2_1	ENSMUSG00000026077
Npas2_2	ENSMUSG00000026077
Rpl31_1	ENSMUSG00000073702
Rpl31_1	ENSMUSG00000073702
Rpl31_1	ENSMUSG00000073702
Tbc1d8_1	ENSMUSG00000003134
Cnot11_1	ENSMUSG00000003135
Snord89_1	ENSMUSG00000077704
AK040602_1	ENSMUSG00000085894
Rnf149_1	ENSMUSG00000048234
Creg2_1	ENSMUSG00000050967
Rfx8_1	ENSMUSG00000057173
Gm3646_1	ENSMUSG00000091937
1700066B17Rik_1	ENSMUSG00000101634
Map4k4_1	ENSMUSG00000026074
Map4k4_1	ENSMUSG00000026074
Map4k4_1	ENSMUSG00000026074
Map4k4_1	ENSMUSG00000026074
Map4k4_1	ENSMUSG00000026074
Il1r2_1	ENSMUSG00000026073
Il1r2_1	ENSMUSG00000026073
Gm16894_1	ENSMUSG00000097899
Il1r2_2	ENSMUSG00000026073
Il1r1_2	ENSMUSG00000026072
Il1r1_1	ENSMUSG00000026072
Il1rl2_1	ENSMUSG00000070942
Il1rl1_1	ENSMUSG00000026069
Il1rl1_1	ENSMUSG00000026069
Il1rl1_2	ENSMUSG00000026069
Il18r1_2	ENSMUSG00000026070
Il18r1_2	ENSMUSG00000026070
Il18r1_2	ENSMUSG00000026070
Il18r1_1	ENSMUSG00000026070
Il18rap_1	ENSMUSG00000026068
Slc9a4_1	ENSMUSG00000026065
Slc9a2_1	ENSMUSG00000026062
Mfsd9_1	ENSMUSG00000041945
Tmem182_1	ENSMUSG00000079588
Pantr1_2	ENSMUSG00000060424
Pantr1_1	ENSMUSG00000060424
Pantr1_3	ENSMUSG00000060424
Pou3f3_1	ENSMUSG00000045515
Pou3f3_1	ENSMUSG00000045515
Pantr2_1	ENSMUSG00000097063
Mrps9_1	ENSMUSG00000060679
Gpr45_2	ENSMUSG00000041907
Gpr45_1	ENSMUSG00000041907
Tgfbrap1_1	ENSMUSG00000070939
Tgfbrap1_2	ENSMUSG00000070939
AI597479_1	ENSMUSG00000010290
Fhl2_1	ENSMUSG00000008136
Fhl2_1	ENSMUSG00000008136
Rpl29-1_1	ENSMUSG00000094497
Nck2_1	ENSMUSG00000066877
Nck2_2	ENSMUSG00000066877
1500015O10Rik_1	ENSMUSG00000026051
1500015O10Rik_2	ENSMUSG00000026051
Uxs1_1	ENSMUSG00000057363
Tpp2_1	ENSMUSG00000041763
Tpp2_1	ENSMUSG00000041763
Tpp2_1	ENSMUSG00000041763
Mettl21c_1	ENSMUSG00000047343
Tex30_1	ENSMUSG00000026049
Kdelc1_1	ENSMUSG00000026047
Bivm_1	ENSMUSG00000041684
Ercc5_1	ENSMUSG00000026048
Ercc5_1	ENSMUSG00000026048
Ercc5_1	ENSMUSG00000026048
Mettl21e_1	ENSMUSG00000046828
Gulp1_1	ENSMUSG00000056870
Gulp1_1	ENSMUSG00000056870
Gulp1_2	ENSMUSG00000056870
Col3a1_1	ENSMUSG00000026043
Col5a2_1	ENSMUSG00000026042
Wdr75_1	ENSMUSG00000025995
Slc40a1_1	ENSMUSG00000025993
Slc40a1_2	ENSMUSG00000025993
Stk-ps2_1	ENSMUSG00000044457
Dnah7c_1	ENSMUSG00000101337
Slc39a10_1	ENSMUSG00000025986
AK219219_1	ENSMUSG00000100033
Tmeff2_1	ENSMUSG00000026109
Cavin2_1	ENSMUSG00000045954
Cavin2_2	ENSMUSG00000045954
AK006937_1	ENSMUSG00000101702
Nabp1_1	ENSMUSG00000026107
Nabp1_1	ENSMUSG00000026107
Nabp1_1	ENSMUSG00000026107
Myo1b_1	ENSMUSG00000018417
Myo1b_1	ENSMUSG00000018417
Myo1b_1	ENSMUSG00000018417
Stat4_2	ENSMUSG00000062939
Stat4_3	ENSMUSG00000062939
Stat4_1	ENSMUSG00000062939
Stat1_1	ENSMUSG00000026104
Stat1_1	ENSMUSG00000026104
Stat1_1	ENSMUSG00000026104
Stat1_1	ENSMUSG00000026104
Gls_1	ENSMUSG00000026103
Nab1_1	ENSMUSG00000002881
Nemp2_1	ENSMUSG00000043015
Nemp2_1	ENSMUSG00000043015
Nemp2_1	ENSMUSG00000043015
Mfsd6_1	ENSMUSG00000041439
Inpp1_1	ENSMUSG00000026102
Hibch_1	ENSMUSG00000041426
1700019D03Rik_1	ENSMUSG00000043629
1700019D03Rik_2	ENSMUSG00000043629
Mstn_1	ENSMUSG00000026100
1700019A02Rik_1	ENSMUSG00000060715
Pms1_1	ENSMUSG00000026098
Pms1_1	ENSMUSG00000026098
Ormdl1_1	ENSMUSG00000026097
Osgepl1_1	ENSMUSG00000026096
Osgepl1_1	ENSMUSG00000026096
Osgepl1_1	ENSMUSG00000026096
Asnsd1_1	ENSMUSG00000026095
Asnsd1_1	ENSMUSG00000026095
Asnsd1_1	ENSMUSG00000026095
Asnsd1_1	ENSMUSG00000026095
Dnah7a_1	ENSMUSG00000096141
Stk17b_2	ENSMUSG00000026094
Stk17b_1	ENSMUSG00000026094
Hecw2_1	ENSMUSG00000042807
Ccdc150_1	ENSMUSG00000025983
Ccdc150_1	ENSMUSG00000025983
Gtf3c3_1	ENSMUSG00000041303
AK051866_1	ENSMUSG00000073678
Pgap1_1	ENSMUSG00000073678
AK015376_1	ENSMUSG00000101674
Ankrd44_1	ENSMUSG00000052331
Sf3b1_1	ENSMUSG00000025982
Coq10b_1	ENSMUSG00000025981
Coq10b_1	ENSMUSG00000025981
Hspd1_1	ENSMUSG00000025980
Hspe1_1	ENSMUSG00000073676
Mob4_1	ENSMUSG00000025979
Mob4_1	ENSMUSG00000025979
Mob4_1	ENSMUSG00000025979
AK165532_1	ENSMUSG00000025979
Rftn2_1	ENSMUSG00000025978
Rftn2_1	ENSMUSG00000025978
Mars2_1	ENSMUSG00000046994
Boll_2	ENSMUSG00000025977
Boll_1	ENSMUSG00000025977
Plcl1_1	ENSMUSG00000038349
Akr1b3-1_1	ENSMUSG00000100309
1700003I22Rik_1	ENSMUSG00000100372
1700003I22Rik_1	ENSMUSG00000100372
Hsfy2_1	ENSMUSG00000045336
Satb2_2	ENSMUSG00000038331
Satb2_1	ENSMUSG00000038331
9130024F11Rik_1	ENSMUSG00000087022
4930558J18Rik_1	ENSMUSG00000097519
1700066M21Rik_1	ENSMUSG00000038323
Tyw5_2	ENSMUSG00000048495
Maip1_2	ENSMUSG00000025971
Tyw5_1	ENSMUSG00000048495
Tyw5_1	ENSMUSG00000048495
Tyw5_1	ENSMUSG00000048495
Tyw5_1	ENSMUSG00000048495
Maip1_1	ENSMUSG00000025971
Spats2l_1	ENSMUSG00000038305
Spats2l_1	ENSMUSG00000038305
Spats2l_2	ENSMUSG00000038305
Kctd18_1	ENSMUSG00000054770
Sgo2a_1	ENSMUSG00000026039
Sgo2a_1	ENSMUSG00000026039
Aox1_1	ENSMUSG00000063558
Aox3_1	ENSMUSG00000064294
Aox4_1	ENSMUSG00000038242
Aox2_1	ENSMUSG00000079554
Bzw1_1	ENSMUSG00000051223
Bzw1_2	ENSMUSG00000051223
Clk1_2	ENSMUSG00000026034
Clk1_1	ENSMUSG00000026034
Clk1_1	ENSMUSG00000026034
Clk1_1	ENSMUSG00000026034
Nif3l1_1	ENSMUSG00000026036
Nif3l1_1	ENSMUSG00000026036
Ppil3_1	ENSMUSG00000026035
Nif3l1_2	ENSMUSG00000026036
Orc2_1	ENSMUSG00000026037
AK144771_1	ENSMUSG00000085054
Fam126b_1	ENSMUSG00000038174
Fam126b_1	ENSMUSG00000038174
Fam126b_1	ENSMUSG00000038174
Ndufb3_2	ENSMUSG00000026032
Ndufb3_1	ENSMUSG00000026032
Gm20257_1	ENSMUSG00000102059
Als2cr12_1	ENSMUSG00000047528
Cflar_2	ENSMUSG00000026031
Cflar_2	ENSMUSG00000026031
Cflar_2	ENSMUSG00000026031
Cflar_2	ENSMUSG00000026031
Cflar_1	ENSMUSG00000026031
Cflar_3	ENSMUSG00000026031
Casp8_1	ENSMUSG00000026029
Casp8_1	ENSMUSG00000026029
Casp8_1	ENSMUSG00000026029
Casp8_2	ENSMUSG00000026029
Trak2_2	ENSMUSG00000026028
Trak2_1	ENSMUSG00000026028
Stradb_1	ENSMUSG00000026027
Als2cr11b_1	ENSMUSG00000047383
Als2cr11_1	ENSMUSG00000072295
Als2cr11_1	ENSMUSG00000072295
Tmem237_1	ENSMUSG00000038079
Tmem237_2	ENSMUSG00000038079
Tmem237_2	ENSMUSG00000038079
Mpp4_2	ENSMUSG00000079550
Mpp4_1	ENSMUSG00000079550
Als2_2	ENSMUSG00000026024
Als2_1	ENSMUSG00000026024
Als2_1	ENSMUSG00000026024
Als2_1	ENSMUSG00000026024
Cdk15_1	ENSMUSG00000026023
Fzd7_1	ENSMUSG00000041075
AK006768_1	ENSMUSG00000099811
Sumo1_1	ENSMUSG00000026021
Nop58_1	ENSMUSG00000026020
Snord11_1	ENSMUSG00000089093
Bmpr2_1	ENSMUSG00000067336
Fam117b_1	ENSMUSG00000041040
Ica1l_1	ENSMUSG00000026018
Wdr12_3	ENSMUSG00000026019
Wdr12_2	ENSMUSG00000026019
Wdr12_1	ENSMUSG00000026019
Carf_1	ENSMUSG00000026017
Carf_1	ENSMUSG00000026017
Carf_1	ENSMUSG00000026017
Carf_1	ENSMUSG00000026017
Carf_1	ENSMUSG00000026017
Carf_2	ENSMUSG00000026017
Nbeal1_1	ENSMUSG00000073664
Nbeal1_1	ENSMUSG00000073664
Nbeal1_2	ENSMUSG00000073664
Cyp20a1_1	ENSMUSG00000049439
Abi2_1	ENSMUSG00000026782
Abi2_1	ENSMUSG00000026782
Raph1_2	ENSMUSG00000026014
Raph1_1	ENSMUSG00000026014
AK217854_1	ENSMUSG00000101188
Cd28_1	ENSMUSG00000026012
AK009383_1	ENSMUSG00000085965
Ctla4_1	ENSMUSG00000026011
Ctla4_1	ENSMUSG00000026011
Icos_1	ENSMUSG00000026009
Pard3b_1	ENSMUSG00000052062
Pard3b_1	ENSMUSG00000052062
AK015421_1	ENSMUSG00000085842
AK015421_2	ENSMUSG00000085842
Pard3b_2	ENSMUSG00000052062
Nrp2_1	ENSMUSG00000025969
Nrp2_1	ENSMUSG00000025969
Nrp2_2	ENSMUSG00000025969
Nrp2_3	ENSMUSG00000025969
Nrp2_3	ENSMUSG00000025969
Nrp2_3	ENSMUSG00000025969
Ino80d_1	ENSMUSG00000040865
Ino80dos_1	ENSMUSG00000084799
Ino80dos_1	ENSMUSG00000084799
Ndufs1_1	ENSMUSG00000025968
Eef1b2_2	ENSMUSG00000025967
Eef1b2_1	ENSMUSG00000025967
Zdbf2_2	ENSMUSG00000027520
Gpr1_1	ENSMUSG00000046856
Zdbf2_1	ENSMUSG00000027520
Zdbf2_1	ENSMUSG00000027520
Zdbf2_1	ENSMUSG00000027520
Zdbf2_1	ENSMUSG00000027520
Adam23_1	ENSMUSG00000025964
Mdh1b_1	ENSMUSG00000025963
Fastkd2_1	ENSMUSG00000025962
Klf7_1	ENSMUSG00000025959
Creb1_1	ENSMUSG00000025958
Creb1_1	ENSMUSG00000025958
Creb1_1	ENSMUSG00000025958
Creb1_1	ENSMUSG00000025958
Creb1_2	ENSMUSG00000025958
Mettl21a_1	ENSMUSG00000025956
2810408I11Rik_1	ENSMUSG00000087213
Fzd5_1	ENSMUSG00000045005
Fzd5_1	ENSMUSG00000045005
Plekhm3_2	ENSMUSG00000051344
Plekhm3_3	ENSMUSG00000051344
Plekhm3_1	ENSMUSG00000051344
Akr1cl_1	ENSMUSG00000025955
Akr1cl_1	ENSMUSG00000025955
Cryge_1	ENSMUSG00000070870
Crygd_1	ENSMUSG00000067299
Crygc_1	ENSMUSG00000025952
Crygc_1	ENSMUSG00000025952
Crygb_1	ENSMUSG00000073658
Cryga_1	ENSMUSG00000044429
D630023F18Rik_1	ENSMUSG00000044816
D630023F18Rik_1	ENSMUSG00000044816
Idh1_1	ENSMUSG00000025950
Idh1_2	ENSMUSG00000025950
Pikfyve_1	ENSMUSG00000025949
Pikfyve_1	ENSMUSG00000025949
Crygf_1	ENSMUSG00000025945
Map2_1	ENSMUSG00000015222
Map2_1	ENSMUSG00000015222
Map2_3	ENSMUSG00000015222
Map2_2	ENSMUSG00000015222
Map2_2	ENSMUSG00000015222
Unc80_1	ENSMUSG00000055567
Unc80_1	ENSMUSG00000055567
Unc80_1	ENSMUSG00000055567
Rpe_1	ENSMUSG00000026005
Rpe_1	ENSMUSG00000026005
Kansl1l_1	ENSMUSG00000026004
Kansl1l_1	ENSMUSG00000026004
Kansl1l_1	ENSMUSG00000026004
Acadl_1	ENSMUSG00000026003
Myl1_1	ENSMUSG00000061816
Myl1_2	ENSMUSG00000061816
Lancl1_1	ENSMUSG00000026000
Lancl1_1	ENSMUSG00000026000
Lancl1_1	ENSMUSG00000026000
Cps1_1	ENSMUSG00000025991
Erbb4_1	ENSMUSG00000062209
Ikzf2_1	ENSMUSG00000025997
Spag16_1	ENSMUSG00000053153
Spag16_3	ENSMUSG00000053153
Spag16_2	ENSMUSG00000053153
Vwc2l_1	ENSMUSG00000045648
Vwc2l_1	ENSMUSG00000045648
Vwc2l_1	ENSMUSG00000045648
Bard1_1	ENSMUSG00000026196
Abca12_1	ENSMUSG00000050296
Atic_1	ENSMUSG00000026192
Apol7d_1	ENSMUSG00000073652
Fn1_1	ENSMUSG00000026193
Gm8883_1	ENSMUSG00000099707
Gm8883_1	ENSMUSG00000099707
Mreg_1	ENSMUSG00000039395
Pecr_1	ENSMUSG00000026189
